Album,Song Name,Lyrics
There Is A Hell,Alligator Blood,"Let's play a game of Russian Roulette
I'll load the gun, you place the bets
Tell me who will make it out alive
Let's play a game of Russian Roulette
I'll load the gun, you place the bets
Tell me who will make it out alive

Over and over and over again, we play the same old games
Cards kept close to our chest, that way the secret's kept
So wear your poker face, here's to the fool, here's to the thief
Fiction is bitter and you got a taste

My alligator blood is starting to show
I know that you know that I know that you know
Can't call a bluff with a dead man's hand
My alligator blood is starting to show
I know that you know that I know that you know
Can't call a bluff with a dead man's hand

Cut me up and wear my skin, show me how to live
Tear me down, clean me up, now spill my fucking guts
Just help me find a way, just help me find a way
Just help me find a way, just help me find a way

My alligator blood is starting to show
I know that you know that I know that you know
Can't call a bluff with a dead man's hand
My alligator blood is starting to show
I know that you know that I know that you know
Can't call a bluff with a dead man's hand

Put a gun to my head and paint the walls with my brains
Put a gun to my head and paint the walls
Put a gun to my head and paint the walls with my brains
Put a gun to my head and paint the walls

Now you know
Now you know
Now you know
Now you know, you can go, you can give up trying
Should've just called it quits, should've just called it quits
Leave before it's too late
Now you know you can go, you can give up trying
Should've just called it quits, should've just called it quits
Leave before it's too late

Let's play a game of Russian Roulette
I'll load the gun, you place the bets
Tell me who will make it out alive
Let's play a game of Russian Roulette
I'll load the gun, you place the bets
Tell me who will make it out alive

Alright, yeah, yeah
So put a gun to my head and paint the walls with my fucking brain, oh!
Put a gun to my head and paint the walls with my brains
Put a gun to my head and paint the fucking walls!
"
There Is A Hell,Anthem,"This is an anthem, so fucking sing
A dedication to the end of everything
This is an anthem, so fucking sing (So fucking sing)
A dedication to the end of everything

Someone call an ambulance, I got wounds to attend
Someone call a doctor, I fear this is the end
This happens all the time
This happens every day
But I never seem to quit
The wolves never stay at bay

I hate to say ""I told you so""
But fuck it, I told you so
And don't say a word, I already know

This is an anthem, so fucking sing
A dedication to the end of everything
This is an anthem, so fucking sing (So fucking sing)
A dedication to the end of everything

Someone call an exorcist, and help me kill this curse
I can't stop the bleeding, and it's only getting worse
This happens all the time
This happens every day
But I never seem to quit
The wolves never stay at bay

No, they don't stay!

I hate to say ""I told you so""
But fuck it, I told you so
And don't say a word, I already know
I already know

This is an anthem, so fucking sing (So fucking sing)
A dedication to the end of everything

Yeah
Get the fuck up
This is it, the sound of giving in
Yeah
Get the fuck up
This is it, the end of everything

Tastes so bitter, feels so sweet
Lost in a dream, never fell asleep
Tastes so bitter, feels so sweet
I've come back to old remedies

This is an anthem, so fucking sing
This is an anthem, so fucking sing

This is an anthem, so fucking sing
A dedication to the end of everything
This is an anthem, so fucking sing (So fucking sing)
A dedication to the end of everything
To the end of everything

This is an anthem, so fucking sing
A dedication to the end of everything

""Do you feel different now?""
""Yes.""
""Less anxious?""
""Much less.""
""Do you have any special feelings?""
""I feel like my heart is being touched by Christ."" "
There Is A Hell,Blacklist,"So just like that, you're fucking dead and gone
You can only wear a crown of thorns for so long
We built an empire and you took the throne
But you built it from bayonets and sat there alone

So just like that, you're fucking dead and gone
You can only wear a crown of thorns for so long
We built an empire and you took the throne
But you built it from bayonets and sat there alone
I hope your queen was worth it
Do you still serve her on your knees?
'Cause you sat when the world was at your feet
Just slept while we lived the dream

You won't miss the water till the river runs dry
You won't miss the sunset till it burns out the sky
You won't miss what you have till it's finally lost
But you don't miss a bastard when you're bearing his fucking cross

Blacklist
Nothing but a blacklist
With friends like you, there's no need for enemies
With friends like you, there's no need for anything
Blacklist, you're nothing but a blacklist

Well, truth be told, I'm a little bit gutted
I mean, you were always a prick, but we still seemed to love you
We started this together, and it should've stuck
But there's no room for a useless, miserable fuck
Well, I know I was a cunt in the final days
It just filled me with venom, filled me with rage
To see someone not give a shit
Despite of all of this

I won't see you around, I couldn't give a fuck
I'd rather slit my wrists than keep in touch
You're on my blacklist, and there's nothing left to say
We're finished breaking our bones, dragging dead fucking weight
I won't see you around, I couldn't give a fuck
I'd rather slit my wrists than keep in touch
Blacklist, blacklist

Blacklist
Nothing but a blacklist
With friends like you, there's no need for enemies
With friends like you, there's no need for anything
Blacklist, you're nothing but a blacklist

I won't see you around, I couldn't give a fuck
I'd rather slit my wrists than keep in touch
You're on my blacklist, and there's nothing left to say
We're finished breaking our bones, dragging dead fucking weight
I won't see you around, I couldn't give a fuck
I'd rather slit my wrists than keep in touch
You're on my blacklist, and there's nothing left to say
We're finished breaking our bones, dragging dead fucking weight
"
There Is A Hell,Blessed With A Curse,"Ever since this began, I was blessed with a curse
And for better or for worse I was born into a hearse
I know I said my heart beats for you I was lying girl, it beats for two
Because I got your love and I got these vices
Take back every word I've said, ever said to you
Take back every word I've said, ever said to you

Ever since this began, I was blessed with a curse
And for better or for worse I was born into a hearse
I know I said my heart beats for you I was lying girl
I've been lying to you

Everything I touch turns to stone
So wrap your arms around me, and leave me on my own
Everything I touch turns to stone
So wrap your arms around me, and leave me on my own

Take back every word I've said, ever said to you
Take back every word I've said, ever said to you
Take back every word I've said, ever said to you
Take back every word I've said, because
Everything I touch turns to stone
So wrap your arms around me, and leave me, I can't hold on

Take back every word I've said, ever said to you
Take back every word I've said, every word I've said
Take back every word I've said, ever said to you
Take back every word I've said, ever said to you"
There Is A Hell,Crucify Me,"Crucify me and nail my hands to a wooden cross
There is nothing above, there is nothing below
Heaven and Hell live in all of us
And I've been cast astray

I am an ocean, I am the sea
There is a world inside of me
Lost in the abyss, drowned in the deep
No set of lungs could salvage me
Only a shipwreck, only a ghost
Merely a graveyard of your former self
We just watched the waves crash over
And I've been cast astray

There is a Hell, believe me, I've seen it
There is a Heaven, let's keep it a secret
No one needs to know
There is a Hell, believe me, I've seen it
There is a Heaven, let's keep it a secret
No one needs to know

I am an ocean, I am the sea
There is a world inside of me
Lost in the abyss, drowned in the deep
No set of lungs could salvage me
Save yourself, save your breath
The tide's too strong, you'll catch your death
So breathe for me
Just breathe

There is a Hell, believe me, I've seen it
There is a Heaven, let's keep it a secret
There is a Hell
Believe me, I've seen it
There is a Hell, believe me, I've seen it
There is a Heaven, let's keep it a secret
There is a Hell
Believe me, I've seen it


Oh, if we make it through the night, if we make it out alive
Lord, have mercy and pray for the dead
And you say that you can save me, don't hope to ever find me
And I fear I'm too far gone, pray for the dead
Oh, if we make it through the night, if we make it out alive
Lord, have mercy and pray for the dead
And you say that you can save me, don't hope to ever find me
And I fear I'm too far gone, pray for the dead

Pray for the dead, pray for the dead
Pray for the dead, yeah

Ladies and gentlemen, can I have your full undivided attention?
There's something you all really need to know

There is a Hell, believe me, I've seen it
There is a Heaven, let's keep it a secret
There is a Hell
Believe me, I've seen it
There is a Hell, believe me, I've seen it
There is a Heaven, let's keep it a secret
There is a Hell
Believe me, I've seen it

If we make it through the night, if we make it out alive
You said that you can save me, don't hope to ever find me
And I fear I'm too far gone, pray for the dead
Oh, if we make it through the night, if we make it out alive
Lord, have mercy and pray for the dead
And you say that you can save me, don't hope to ever find me
And I fear I'm too far gone, pray for the dead

I am the ocean, I am the sea
There is a world inside of me
I am the ocean, I am the sea
There is a world inside of me
I am the ocean, I am the sea
There is a world inside of me
I am the ocean, I am the sea
There is a world inside of me

I am the ocean, I am the sea
There is a world inside of me
I am the ocean, I am the sea
There is a world inside of me
I am the ocean, I am the sea
There is a world inside of me
I am the ocean, I am the sea
There is a world inside of me "
There Is A Hell,Don't Go,"I was raised in the valley, there was shadows and death
Got out alive but with scars I can't forget
This kid back in school, subdued and shy
An orphan and a brother and unseen by most eyes

I don't know what it was that made a piece of him die
Took a boy to the forest, slaughtered him with a scythe
Stamped on his face, an impression in the dirt
Do you think the silence makes a good man convert?

We all have our horrors and our demons to fight
But how can I win, when I'm paralyzed?
They crawl up on my bed, wrap their fingers 'round my throat
Is this what I get for the choices that I've made?

God, forgive me for all my sins. God, forgive me for everything
God, forgive me for all my sins. God, forgive me. God, forgive me

Don't go, I can't do this on my own
Don't go, I can't do this on my own
Save me from the ones that haunt me in the night
I can't live with myself, so stay with me tonight
Don't go
Don't go

If I let you in, you'd just want out
If I tell you the truth, you'd vie for a lie
If I spilt my guts, it would make a mess we can't clean up
If you follow me, you will only get lost
If you try to get closer, we'll only lose touch
Yes, you already know too much and you're not going anywhere

Tell me that you need me 'cause I love you so much
(Tell me that you love me 'cause I need you so much)
Tell me that you need me 'cause I love you so much
(Say you'll never leave me 'cause I need you so much)

Don't go, I can't do this on my own
Don't go, I can't do this on my own
Save me from the ones that haunt me in the night
I can't live with myself, so stay with me tonight
Don't go, I can't do this on my own
Don't go
Save me from the ones that haunt me in the night
I can't live with myself, so stay with me tonight
Don't go

Don't go, don't go
Don't go, don't go
Don't go, don't go
Don't go (Tell me that you love me)
Don't go (Tell me that you need me)
Don't go (Tell me that you love me)
Don't go (Tell me that you need me)
Don't go
"
There Is A Hell,Fuck,"Let's fuck, 'til the sun comes up
Because we haven't got long but we got enough
A night to remember, a day to forget
(Don't stop 'til we pirouette)
I'm no saint, you're no martyr
One more night playing heart pinata
How do you say ""goodbye""...

How do you say ""goodbye"" when you've hardly said ""hello""?
The only way we know, the only way we know
The only way we know, the only way we know
How do you say ""goodbye"" when you've hardly said ""hello""?

Let's fuck! Fuck! Fuck, fuck, fuck

Let's fuck 'til our hearts give up
It won't be long!
A night to remember, a day to forget
If our eyes were diamonds we'd be rich
Your voice makes my heart skip beats
So keep quiet before it quits on me
Your voice makes my heart skip beats
So keep quiet before it flat lines
Before it flat lines

I'm dead, tell them all we're dead
We can hold the wake right here in this bed
Sunk into you tangled in sheets
Buried in blankets, six foot deep again
Kick it

Fuck, fuck, fuck

Let's fuck 'til the sun comes up
Because we haven't got long but we got enough
A night to remember, a day to forget
(Don't stop 'til we pirouette)
I'm no saint, you're no martyr
One more night playing heart pinata
How do you say ""goodbye""...

How do you say ""goodbye"" when you've hardly said ""hello""?
How do you say ""goodbye"" when you've hardly said ""hello""?
Oh!

We're young and in love, heart attacks waiting to happen
So come a little closer, tell me it's all in our heads
We're young and in love, heart attacks waiting to happen
So come a little closer, tell me those three little words

We're young and in love, heart attacks waiting to happen
So come a little closer, tell me it's all in our heads
We're young and in love, heart attacks waiting to happen
So come a little closer, tell me those three little words

We're young and in love, heart attacks waiting to happen
So come a little closer, tell me it's all in our heads
We're young and in love, heart attacks waiting to happen
So come a little closer, tell me those three little words "
There Is A Hell,Home Sweet Hole,"Cross my heart, I don't wanna die
But heaven knows it seems like I try
Lost in a labyrinth for weeks on end
I live and I learn from my mistakes, then I forget them again

Got a feelin' in my stomach and it just won't quit
It's subtle as a shotgun and heavy as a brick
'Cause I'm staring at the devil and the truth of it is
He's a lot more familiar than I'd care to admit
If only I could focus, maybe if I could see
If I didn't know any better, I would say he looks just like me

The roof is crashin' down, the walls are cavin' in
We discover all your stories are just works of fiction
The roof is crashin' down, the truth is spillin' out

Oh shit, I've done it again
I'm in way too far in over my head
(No) Crossed the line (No) So many times
That I don't even know what it stands for
Oh shit, I've done it again
I'm in way too far in over my head
(No) Crossed the line (No) So many times
That I don't even know what it stands for

Home sweet hole, just be careful what you wish for
Home sweet hole, just be careful what you say
Home sweet hole, just be careful what you wish for
Home sweet hole and just be careful what you say

Got a feelin' in my stomach and it just won't quit
It's subtle as a shotgun and heavy as a brick
Bite your tongue, just bite your tongue
You've already said quite enough

The roof is crashin' down, the walls are cavin' in
We discover all your stories are just works of fiction
The roof is crashin' down, the truth is spillin' out

Oh shit, I've done it again
I'm in way too far in over my head
(No) Crossed the line (No) So many times
That I don't even know what it stands for, yeah
Oh shit, I've done it again
I'm in way too far in over my head
(No) Crossed the line (No) So many times
That I don't even know what it stands for

(You wear your lies like a noose around your neck)
(So kick the chair and let's be done with it)
(You wear your lies like a noose around your neck)
(So kick the chair, so kick the chair)
You wear your lies like a noose around your neck
So kick the chair and let's be done with it
You wear your lies like a noose around your neck
So kick the chair, so kick the chair

Home sweet hole, just be careful what you wish for
Home sweet hole, just be careful what you say
Home sweet hole, just be careful what you wish for
Home sweet hole, just be careful what you say
"
There Is A Hell,It Never Ends,"Started off as a one night stand, lingered to a fling
The sirens and the sergeants didn't seem to mean a thing
Hide your fangs all you want, you still need the blood
Tell us that it's different now, you're up to no good

(Take my hand, show me the way, we are the children who fell from grace)
(Take my hand, show me the way, we are the children who can't be saved)

One more nail in the coffin, one more foot in the grave
One more time I'm on my knees as I try to walk away
How has it come to this?

I've said it once, I've said it twice, I've said it a thousand fucking times
That I'm OK, that I'm fine, that it's all just in my mind
But this has got the best of me, and I can't seem to sleep
It's not 'cause you're not with me, it's 'cause you never leave

I've said it once a thousand fucking times
You say this is suicide,
I say this is a war
And I'm losing the battle
Man down, man down, oh

This is what you call love?
This is a war I can't win!

One more nail in the coffin, one more foot in the grave
One more time I'm on my knees as I try to walk away
Everything I've loved became everything I lost

I've said it once, I've said it twice, I've said it a thousand fucking times
That I'm OK, that I'm fine, that it's all just in my mind
But this has got the best of me, and I can't seem to sleep
It's not 'cause you're not with me, it's 'cause you never leave
It's not 'cause you're not here with me, it's 'cause you never leave

Every second, every minute, every hour, every day
It never ends, it never ends
Every second, every minute, every hour, every day
It never ends, it never ends
Every second, every minute, every hour, every day
It never ends, it never ends
Every second, every minute, every hour, every day
It never ends, it never ends "
There Is A Hell,The Fox And The Wolf,"You said you can't get to heaven unless you get high
But there's no word of hell on the way back down
You said it's now or never,
You only live once

Would you be so quick to walk over to my grave?
You said you'll never be younger than you are tonight
Now I've never felt weaker in all my life
You said it's only a one off, only a line
But now it's a circle, all of the time
Well, it's a one man cult and he's serving his line
It's a ""Lust For Life"" but it's a lifeless wine
He kissed her hand and then he found out her name,
It's Death and now he can't seem to wake

You can't run with the foxes and yet hunt with the wolf

Are you addicted?
Tell me the truth

I think I'm losing my mind

They say the poison's in the dosage and they must be right
Left with panic attacks and death riding our backs
It all looks so much worse on the way back down
I'm so fucked up since I hit the ground

Revive me"
There Is A Hell,Visions,"This is a call to arms, so grab your guns and get your horses
Only the dead have seen the end of this fight
This is a call to arms, so all you fallen soldiers, sing with me
Death or glory

So march with me if you believe there's any hope for us
I've been hiding in these trenches for far too long
All is fair in love and war, or so they tell me
All is fair in love and war, or so they say

Come on, come on, there has to be a better way
Get up, get up, let's leave this mess
I know a place that we can get away from all of this
Come on, come on, get up, get up

I've been dreaming of us leaving
Everything and everyone we've ever known
I've been thinking all these visions
Must be a sign, so hold on and don't let go

No, we can't leave till you tell me everything
So come clean, don't talk in tongues, talk in tongues
It's time to bring out your dead
And all the skeletons that you've been hiding
Tell me everything, I need to know

Bring out your dead
Bring out your dead, oh

So march with me if you believe there's any hope for us
I've been hiding in these trenches for far too long
All is fair in love and war or so they tell me
All is fair in love and war or so they say

Come on, come on, get up, get up
I know a place that we can get away from all of this
Yeah

I couldn't see a thing till I shut my eyes
I never knew a thing till I lost my mind
I would sell my soul to know it all
But I held the keys all this time
I couldn't see a thing till I shut my eyes
I never knew a thing till I lost my mind
I would sell my soul to know it all
But I held the keys all this time

I've been dreaming of us leaving
Everything and everyone we've ever known
I've been thinking all these visions
Must be a sign, so hold on and don't let go
I've been dreaming of us leaving
Everything and everyone we've ever known
I've been thinking all these visions
Must be a sign, so hold on and don't let go

Bring out your dead
Bring out your dead
Bring out your dead
"
Sempiternal,And The Snakes Start To Sing,"I've lost the plot again
Tell your friends to sharpen their teeth
There's a few quid to be made

And my soul's a sorry state
So come on down, you empty lovers
Worms come out of the woodwork
And the snakes start to sing

Do you feel the chill
Clawing at the back of your neck?
I start to spill
Did you really think that you could fix me?
They'll sell your bones for another roll
Well sharpen your teeth
Tell yourself that it's just business

Worms come out of the woodwork
Leeches crawl from out of the dirt
Rats come out of the holes they call home
I fall apart
And the snakes start to sing

Don't say I'm better off dead
'Cause heaven's full and hell won't have me
Won't you make some room in your bed?
Oh, well you could lock me up in your heart
And throw away the key
Won't you take me out of my head?

I'm just a would've been, could've been
Should've been, never was and never ever will be
Well, sharpen your teeth
Tell yourself that it's just business
Would've been, could've been
Should've been, never was, and never ever will be
Worms come out of the woodwork
And the snakes start to sing

Worms come out of the woodwork
Leeches crawl from out of the dirt
Rats come out of the holes they call home
I fall apart
And the snakes start to sing

If you can't soar with the eagles
Then don't fly with the flock
Are you still getting high?
Did you catch your own reflection
In the knife my mother held?
Or the hell in my father's eyes?

If you can't soar with the eagles
Then don't fly with the flock
Are you still getting by?
Was I your knight in shining armour
The apple of your eye?
Or just a step to climb?

If you can't soar with the eagles
Then don't fly with the flock
Are you still getting high?
Did you catch your own reflection
In the knife my mother held?
Or the hell in my father's eyes?

If you can't soar with the eagles
Then don't fly with the flock
Are you still getting by?
Was I your knight in shining armour
Or the apple of your eye?
Or just a step, a fucking step to climb?
"
